factor_name,mean_ic,abs_ic,icir,abs_icir,t_stat,abs_t_stat,pos_rate
enh4_score,0.0987,0.0987,3.21,3.21,8.04,8.04,84.5
ivol,-0.1017,0.1017,-2.94,2.94,-7.46,7.46,14.1
alpha_combo_short,0.0449,0.0449,2.76,2.76,6.52,6.52,78.9
alpha_006_resid,0.0529,0.0529,2.72,2.72,6.57,6.57,80.3
alpha_pv_divergence,0.0592,0.0592,2.68,2.68,6.58,6.58,80.3
alpha_006,0.0408,0.0408,2.32,2.32,5.61,5.61,74.6
ivol_vol_ratio,-0.0652,0.0652,-2.11,2.11,-5.0,5.0,29.6
volatility_10,-0.0815,0.0815,-2.03,2.03,-5.39,5.39,25.4
volatility_20,-0.0866,0.0866,-2.01,2.01,-5.2,5.2,25.4
low_vol_anomaly,0.0866,0.0866,2.01,2.01,5.2,5.2,74.6
volatility_5,-0.0712,0.0712,-1.95,1.95,-5.24,5.24,28.2
alpha_012_resid,0.0329,0.0329,1.92,1.92,4.05,4.05,69.0
alpha_012,0.03,0.03,1.76,1.76,3.76,3.76,70.4
pos_vol_20,-0.0495,0.0495,-1.71,1.71,-4.71,4.71,40.8
liquidity_premium,0.0495,0.0495,1.71,1.71,4.71,4.71,59.2
quality_safety_margin,0.0516,0.0516,1.56,1.56,3.76,3.76,64.8
ret_1m,-0.0558,0.0558,-1.42,1.42,-3.52,3.52,39.4
alpha_reversal_intensity,0.0233,0.0233,1.41,1.41,3.02,3.02,73.2
rev_20,0.0541,0.0541,1.4,1.4,3.42,3.42,63.4
momentum_20,-0.0541,0.0541,-1.4,1.4,-3.42,3.42,36.6
amihud_proxy_20,-0.0573,0.0573,-1.35,1.35,-3.54,3.54,28.2
turnover_stability,-0.0572,0.0572,-1.35,1.35,-3.54,3.54,28.2
turnover_reversal,0.0528,0.0528,1.35,1.35,3.33,3.33,64.8
chip_conc_20,-0.0522,0.0522,-1.25,1.25,-3.14,3.14,31.0
momentum_60,-0.0494,0.0494,-1.22,1.22,-2.95,2.95,38.0
chip_shift_5,-0.0375,0.0375,-1.0,1.0,-2.56,2.56,36.6
chip_support_energy,0.0408,0.0408,0.97,0.97,2.44,2.44,64.8
prof_pct_20,-0.0299,0.0299,-0.94,0.94,-2.43,2.43,40.8
rev_10,0.0346,0.0346,0.91,0.91,2.2,2.2,62.0
momentum_10,-0.0346,0.0346,-0.91,0.91,-2.2,2.2,38.0
chip_profit_bias,-0.0247,0.0247,-0.89,0.89,-2.56,2.56,39.4
chip_conc_ratio,-0.0361,0.0361,-0.88,0.88,-2.19,2.19,35.2
float_pnl_20,-0.0255,0.0255,-0.67,0.67,-1.61,1.61,45.1
vol_ratio_5_20,-0.0145,0.0145,-0.67,0.67,-1.89,1.89,40.8
alpha_023,0.0112,0.0112,0.65,0.65,1.43,1.43,54.9
rev_5,0.0201,0.0201,0.63,0.63,1.5,1.5,52.1
chip_trapped_pressure,0.024,0.024,0.63,0.63,1.51,1.51,53.5
momentum_5,-0.0201,0.0201,-0.63,0.63,-1.5,1.5,47.9
or_yoy,0.0145,0.0145,0.61,0.61,1.38,1.38,63.4
netprofit_yoy,0.0149,0.0149,0.6,0.6,1.4,1.4,63.4
roe,0.0194,0.0194,0.54,0.54,1.26,1.26,56.3
roe_clean,0.0194,0.0194,0.54,0.54,1.26,1.26,56.3
vwap_20,-0.0205,0.0205,-0.39,0.39,-0.85,0.85,47.9
vwap_spread_20,-0.0201,0.0201,-0.39,0.39,-0.84,0.84,47.9
vol_term_spread,-0.0066,0.0066,-0.3,0.3,-0.82,0.82,42.3
alpha_009,0.0003,0.0003,0.01,0.01,0.02,0.02,45.1
