date,code,target_column,dividend_per_share,unit_nav
2015-01-20,100032,dividend_100032,0.056,1.385
2016-01-06,000015,bond_pure_000015,0.03,1.142
2016-01-19,050002,csi300_fund_050002,0.012,1.0565
2016-01-19,050002,fund_050002,0.012,1.0565
2016-01-19,050002,proxy_quant_a,0.0117,1.0334
2016-02-02,100032,dividend_100032,0.35,1.118
2016-02-02,000290,proxy_bond_qdii,0.0341,1.0412
2016-05-26,000290,proxy_bond_qdii,0.0421,1.0358
2016-07-19,000290,proxy_bond_qdii,0.0269,1.0565
2016-11-11,001917,proxy_quant_a,0.07,1.096
2016-11-11,001917,quant_a_001917,0.07,1.096
2017-01-05,000290,proxy_bond_qdii,0.0538,1.0654
2017-01-17,100032,dividend_100032,0.3,1.087
2017-02-14,000290,proxy_bond_qdii,0.0448,1.0278
2017-03-30,000290,proxy_bond_qdii,0.0444,0.9973
2018-01-18,100032,dividend_100032,0.188,1.215
2018-12-20,000015,bond_pure_000015,0.056,1.193
2019-01-02,000834,nasdaq_000834,0.0111,1.574
2019-01-02,501018,oil_501018,0.0177,0.913
2019-01-02,501018,proxy_oil,0.0177,0.913
2019-12-16,000015,bond_pure_000015,0.0273,1.221
2020-01-10,050002,csi300_fund_050002,0.0159,1.5735
2020-01-10,050002,fund_050002,0.0159,1.5735
2020-02-28,100032,dividend_100032,0.11,0.984
2020-12-07,000015,bond_pure_000015,0.0563,1.196
2021-01-15,050002,csi300_fund_050002,0.0211,2.0705
2021-01-15,050002,fund_050002,0.0211,2.0705
2021-03-11,100032,dividend_100032,0.1151,1.073
2022-03-22,100032,dividend_100032,0.145,1.035
2022-12-08,100032,dividend_100032,0.107,0.952
2023-09-26,000015,bond_pure_000015,0.05,1.2691
2023-10-24,000015,bond_pure_000015,0.0315,1.2378
2023-12-19,000015,bond_pure_000015,0.115,1.1296
2024-01-30,100032,dividend_100032,0.04,0.951
2024-04-29,000015,bond_pure_000015,0.0211,1.1246
2025-01-13,050002,csi300_fund_050002,0.017,1.5568
2025-01-13,050002,fund_050002,0.017,1.5568
2025-02-06,100032,dividend_100032,0.065,0.938
2026-01-13,050002,csi300_fund_050002,0.0098,2.0179
2026-01-13,050002,fund_050002,0.0098,2.0179
2026-02-10,100032,dividend_100032,0.07,1.001
