date,sh_index_000001,fund_050002,bond_pure_000015,bond_qdii_004998,dividend_100032,money_market_000198,quant_a_001917,gold_000216,nasdaq_000834,global_tech_017730,oil_501018
2015-01-05,3350.519,1.0689,1.052,,1.507,1.020221379415998,,0.898,0.982,,
2015-01-06,3351.446,1.0711,1.053,,1.518,1.020276731777073,,0.905,0.974,,
2015-01-07,3373.954,1.0713,1.054,,1.515,1.0203320871413035,,0.907,0.98,,
2015-01-08,3293.456,1.0493,1.056,,1.487,1.020387445508853,,0.905,0.995,,
2015-01-09,3285.412,1.0481,1.057,,1.481,1.0204428068798845,,0.906,0.99,,
2015-01-12,3229.316,1.0402,1.058,,1.456,1.020608909015499,,0.917,0.981,,
2015-01-13,3235.301,1.0397,1.06,,1.467,1.0206642824020873,,0.922,0.979,,
2015-01-14,3222.437,1.0362,1.063,,1.463,1.020719658792972,,0.923,0.976,,
2015-01-15,3336.455,1.0662,1.063,,1.497,1.0207750381883167,,0.914,0.964,,
2015-01-16,3376.495,1.074,1.065,,1.507,1.0208304205882839,,0.939,0.975,,
2015-01-19,3116.351,0.9946,1.066,,1.41,1.0209965858175518,,0.953,0.975,,
2015-01-20,3173.052,1.0058,1.066,,1.385,1.02105198023764,,0.954,0.981,,
2015-01-21,3323.611,1.0487,1.067,,1.429,1.021107377663166,,0.969,0.986,,
2015-01-22,3343.344,1.0522,1.067,,1.437,1.0211627780942931,,0.958,1.001,,
2015-01-23,3351.764,1.053,1.068,,1.43,1.0212181815311838,,0.967,1.004,,
2015-01-26,3383.182,1.0589,1.068,,1.448,1.0213844098780713,,0.971,1.004,,
2015-01-27,3352.96,1.0512,1.068,,1.446,1.021439825339649,,0.962,0.982,,
2015-01-28,3305.738,1.0378,1.068,,1.435,1.021495243807806,,0.965,0.975,,
2015-01-29,3262.305,1.0236,1.068,,1.427,1.0215506652827058,,0.959,0.984,,
2015-01-30,3210.363,1.012,1.068,,1.412,1.0216060897645112,,0.944,0.978,,
2015-02-02,3128.3,0.9917,1.068,,1.387,1.021772381252993,,0.961,0.986,,
2015-02-03,3204.907,1.0147,1.067,,1.408,1.0218278177640527,,0.962,0.995,,
2015-02-04,3174.126,1.0068,1.067,,1.399,1.021883257282834,,0.95,0.992,,
2015-02-05,3136.531,0.9985,1.068,,1.381,1.0219386998095,,0.951,1.001,,
2015-02-06,3075.907,0.9849,1.069,,1.354,1.0219941453442138,,0.95,0.993,,
2015-02-09,3095.124,0.9943,1.07,,1.353,1.0221604999982745,,0.935,0.991,,
2015-02-10,3141.593,1.0118,1.07,,1.376,1.022215957566812,,0.937,1.005,,
2015-02-11,3157.704,1.0205,1.073,,1.381,1.0222714181442134,,0.932,1.008,,
2015-02-12,3173.416,1.0251,1.074,,1.384,1.022326881730642,,0.922,1.019,,
2015-02-13,3203.827,1.0317,1.074,,1.401,1.022382348326261,,0.928,1.026,,
2015-02-16,3222.363,1.04,1.076,,1.41,1.022548766169894,,0.931,1.026,,
2015-02-17,3246.906,1.0468,1.077,,1.421,1.0226042448039077,,0.926,1.027,,
2015-02-25,3228.843,1.0346,1.079,,1.416,1.0230481822499848,,0.917,1.041,,
2015-02-26,3298.359,1.0592,1.079,,1.441,1.0231036879799404,,0.917,1.046,,
2015-02-27,3310.303,1.061,1.08,,1.442,1.023159196721373,,0.918,1.042,,
