配置,年化,累计,回撤,夏普,买入,止盈,时间止损,止盈率,平均持仓天,期末(万)
V6-S1: Top3+PE≤80+大盘50亿【对标v4-A3】,0.37166554281878184,5.651593898000006,-0.28948568148555526,1.4495155346763577,126,75,44,0.5952380952333711,141.2689075630252,665.1593898000006
V6-S2: Top3+PE≤80+大盘100亿【纯大盘版】,0.08306511729617871,0.613559902000002,-0.4586867488557299,0.4468245361542164,90,51,33,0.5666666666603704,162.0,161.3559902000002
V6-P1: Top3+PE≤80+PEG优<1.2+大盘50亿,0.36935721537120636,5.5847589810000065,-0.28948568148555526,1.4397302877957996,128,76,44,0.5937499999953614,139.99166666666667,658.4758981000006
V6-C1: Top3+PE≤80+筹码前60%+大盘50亿,0.358559899436528,5.279516754500006,-0.28948568148555526,1.4276076242792883,132,80,45,0.6060606060560148,138.688,627.9516754500005
V6-E1: Top3+PE≤60+大盘50亿,0.2971047836663854,3.7575833180000053,-0.29345536489312296,1.2363654392959431,125,74,44,0.591999999995264,141.76271186440678,475.7583318000006
V6-L1: Top3+PE≤80+上市满3年+大盘50亿,0.34843752596074573,5.004153606000005,-0.29689559160096024,1.3605904199785288,121,73,42,0.6033057851189809,143.16521739130434,600.4153606000006
V6-K1: Top5+PE≤80+大盘50亿【分散版】,0.293194851783783,3.672240860500006,-0.3220948603907013,1.2560600687238241,223,130,81,0.5829596412529913,143.61611374407582,467.2240860500006
V6-W1: Top3+PE≤80+大盘50亿【白名单不加权】,0.37166554281878184,5.651593898000006,-0.28948568148555526,1.4495155346763577,126,75,44,0.5952380952333711,141.2689075630252,665.1593898000006
V6-X1: Top3+强过滤【筹码前60%+PE≤70+上市满2年】,0.2864384641162363,3.5277752900000054,-0.2914258381672,1.2219944841675692,133,80,45,0.6015037593939737,139.448,452.7775290000006
【v4基-A3★】Top3+PE≤80+白名单×1.2,0.355,5.19,-0.295,1.41,144,90,44,0.625,132.0,619.3
【板块基】板块基金(PE48月+T270),0.144,1.43,-0.303,0.55,132,46,83,0.35,224.0,243.0
【持有基】中证1000 512100不动,0.109,0.97,-0.6,0.38,0,0,0,0.0,0.0,197.0
